Pokemon, Number, height, weight, HP, Attack, Defense, Sp. Atk, Sp. Def, Speed, total, Sprite
Victini,494,0.4,4,100,100,100,100,100,100,600,https://play.pokemonshowdown.com/sprites/gen5/victini.png
Snivy,495,0.6,8.1,45,45,55,45,55,63,308,https://play.pokemonshowdown.com/sprites/gen5/snivy.png
Servine,496,0.8,16,60,60,75,60,75,83,413,https://play.pokemonshowdown.com/sprites/gen5/servine.png
Serperior,497,3.3,63,75,75,95,75,95,113,528,https://play.pokemonshowdown.com/sprites/gen5/serperior.png
Tepig,498,0.5,9.9,65,63,45,45,45,45,308,https://play.pokemonshowdown.com/sprites/gen5/tepig.png
Pignite,499,1,55.5,90,93,55,70,55,55,418,https://play.pokemonshowdown.com/sprites/gen5/pignite.png
Emboar,500,1.6,150,110,123,65,100,65,65,528,https://play.pokemonshowdown.com/sprites/gen5/emboar.png
Oshawott,501,0.5,5.9,55,55,45,63,45,45,308,https://play.pokemonshowdown.com/sprites/gen5/oshawott.png
Dewott,502,0.8,24.5,75,75,60,83,60,60,413,https://play.pokemonshowdown.com/sprites/gen5/dewott.png
Samurott,503,1.5,94.6,95,100,85,108,70,70,528,https://play.pokemonshowdown.com/sprites/gen5/samurott.png
Samurott-Hisui,503,1.5,58.2,90,108,80,100,65,85,528,https://play.pokemonshowdown.com/sprites/gen5/samurott-hisui.png
Patrat,504,0.5,11.6,45,55,39,35,39,42,255,https://play.pokemonshowdown.com/sprites/gen5/patrat.png
Watchog,505,1.1,27,60,85,69,60,69,77,420,https://play.pokemonshowdown.com/sprites/gen5/watchog.png
Lillipup,506,0.4,4.1,45,60,45,25,45,55,275,https://play.pokemonshowdown.com/sprites/gen5/lillipup.png
Herdier,507,0.9,14.7,65,80,65,35,65,60,370,https://play.pokemonshowdown.com/sprites/gen5/herdier.png
Stoutland,508,1.2,61,85,110,90,45,90,80,500,https://play.pokemonshowdown.com/sprites/gen5/stoutland.png
Purrloin,509,0.4,10.1,41,50,37,50,37,66,281,https://play.pokemonshowdown.com/sprites/gen5/purrloin.png
Liepard,510,1.1,37.5,64,88,50,88,50,106,446,https://play.pokemonshowdown.com/sprites/gen5/liepard.png
Pansage,511,0.6,10.5,50,53,48,53,48,64,316,https://play.pokemonshowdown.com/sprites/gen5/pansage.png
Simisage,512,1.1,30.5,75,98,63,98,63,101,498,https://play.pokemonshowdown.com/sprites/gen5/simisage.png
Pansear,513,0.6,11,50,53,48,53,48,64,316,https://play.pokemonshowdown.com/sprites/gen5/pansear.png
Simisear,514,1,28,75,98,63,98,63,101,498,https://play.pokemonshowdown.com/sprites/gen5/simisear.png
Panpour,515,0.6,13.5,50,53,48,53,48,64,316,https://play.pokemonshowdown.com/sprites/gen5/panpour.png
Simipour,516,1,29,75,98,63,98,63,101,498,https://play.pokemonshowdown.com/sprites/gen5/simipour.png
Munna,517,0.6,23.3,76,25,45,67,55,24,292,https://play.pokemonshowdown.com/sprites/gen5/munna.png
Musharna,518,1.1,60.5,116,55,85,107,95,29,487,https://play.pokemonshowdown.com/sprites/gen5/musharna.png
Pidove,519,0.3,2.1,50,55,50,36,30,43,264,https://play.pokemonshowdown.com/sprites/gen5/pidove.png
Tranquill,520,0.6,15,62,77,62,50,42,65,358,https://play.pokemonshowdown.com/sprites/gen5/tranquill.png
Unfezant,521,1.2,29,80,115,80,65,55,93,488,https://play.pokemonshowdown.com/sprites/gen5/unfezant.png
Blitzle,522,0.8,29.8,45,60,32,50,32,76,295,https://play.pokemonshowdown.com/sprites/gen5/blitzle.png
Zebstrika,523,1.6,79.5,75,100,63,80,63,116,497,https://play.pokemonshowdown.com/sprites/gen5/zebstrika.png
Roggenrola,524,0.4,18,55,75,85,25,25,15,280,https://play.pokemonshowdown.com/sprites/gen5/roggenrola.png
Boldore,525,0.9,102,70,105,105,50,40,20,390,https://play.pokemonshowdown.com/sprites/gen5/boldore.png
Gigalith,526,1.7,260,85,135,130,60,80,25,515,https://play.pokemonshowdown.com/sprites/gen5/gigalith.png
Woobat,527,0.4,2.1,65,45,43,55,43,72,323,https://play.pokemonshowdown.com/sprites/gen5/woobat.png
Swoobat,528,0.9,10.5,67,57,55,77,55,114,425,https://play.pokemonshowdown.com/sprites/gen5/swoobat.png
Drilbur,529,0.3,8.5,60,85,40,30,45,68,328,https://play.pokemonshowdown.com/sprites/gen5/drilbur.png
Excadrill,530,0.7,40.4,110,135,60,50,65,88,508,https://play.pokemonshowdown.com/sprites/gen5/excadrill.png
Audino,531,1.1,31,103,60,86,60,86,50,445,https://play.pokemonshowdown.com/sprites/gen5/audino.png
Timburr,532,0.6,12.5,75,80,55,25,35,35,305,https://play.pokemonshowdown.com/sprites/gen5/timburr.png
Gurdurr,533,1.2,40,85,105,85,40,50,40,405,https://play.pokemonshowdown.com/sprites/gen5/gurdurr.png
Conkeldurr,534,1.4,87,105,140,95,55,65,45,505,https://play.pokemonshowdown.com/sprites/gen5/conkeldurr.png
Tympole,535,0.5,4.5,50,50,40,50,40,64,294,https://play.pokemonshowdown.com/sprites/gen5/tympole.png
Palpitoad,536,0.8,17,75,65,55,65,55,69,384,https://play.pokemonshowdown.com/sprites/gen5/palpitoad.png
Seismitoad,537,1.5,62,105,95,75,85,75,74,509,https://play.pokemonshowdown.com/sprites/gen5/seismitoad.png
Throh,538,1.3,55.5,120,100,85,30,85,45,465,https://play.pokemonshowdown.com/sprites/gen5/throh.png
Sawk,539,1.4,51,75,125,75,30,75,85,465,https://play.pokemonshowdown.com/sprites/gen5/sawk.png
Sewaddle,540,0.3,2.5,45,53,70,40,60,42,310,https://play.pokemonshowdown.com/sprites/gen5/sewaddle.png
Swadloon,541,0.5,7.3,55,63,90,50,80,42,380,https://play.pokemonshowdown.com/sprites/gen5/swadloon.png
Leavanny,542,1.2,20.5,75,103,80,70,80,92,500,https://play.pokemonshowdown.com/sprites/gen5/leavanny.png
Venipede,543,0.4,5.3,30,45,59,30,39,57,260,https://play.pokemonshowdown.com/sprites/gen5/venipede.png
Whirlipede,544,1.2,58.5,40,55,99,40,79,47,360,https://play.pokemonshowdown.com/sprites/gen5/whirlipede.png
Scolipede,545,2.5,200.5,60,100,89,55,69,112,485,https://play.pokemonshowdown.com/sprites/gen5/scolipede.png
Cottonee,546,0.3,0.6,40,27,60,37,50,66,280,https://play.pokemonshowdown.com/sprites/gen5/cottonee.png
Whimsicott,547,0.7,6.6,60,67,85,77,75,116,480,https://play.pokemonshowdown.com/sprites/gen5/whimsicott.png
Petilil,548,0.5,6.6,45,35,50,70,50,30,280,https://play.pokemonshowdown.com/sprites/gen5/petilil.png
Lilligant,549,1.1,16.3,70,60,75,110,75,90,480,https://play.pokemonshowdown.com/sprites/gen5/lilligant.png
Lilligant-Hisui,549,1.2,19.2,70,105,75,50,75,105,480,https://play.pokemonshowdown.com/sprites/gen5/lilligant-hisui.png
Basculin,550,1,18,70,92,65,80,55,98,460,https://play.pokemonshowdown.com/sprites/gen5/basculin.png
Basculin-White-Striped,550,1,18,70,92,65,80,55,98,460,https://play.pokemonshowdown.com/sprites/gen5/basculin-whitestriped.png
Sandile,551,0.7,15.2,50,72,35,35,35,65,292,https://play.pokemonshowdown.com/sprites/gen5/sandile.png
Krokorok,552,1,33.4,60,82,45,45,45,74,351,https://play.pokemonshowdown.com/sprites/gen5/krokorok.png
Krookodile,553,1.5,96.3,95,117,80,65,70,92,519,https://play.pokemonshowdown.com/sprites/gen5/krookodile.png
Darumaka,554,0.6,37.5,70,90,45,15,45,50,315,https://play.pokemonshowdown.com/sprites/gen5/darumaka.png
Darumaka-Galar,554,0.7,40,70,90,45,15,45,50,315,https://play.pokemonshowdown.com/sprites/gen5/darumaka-galar.png
Darmanitan,555,1.3,92.9,105,140,55,30,55,95,480,https://play.pokemonshowdown.com/sprites/gen5/darmanitan.png
Darmanitan-Galar,555,1.7,120,105,140,55,30,55,95,480,https://play.pokemonshowdown.com/sprites/gen5/darmanitan-galar.png
Maractus,556,1,28,75,86,67,106,67,60,461,https://play.pokemonshowdown.com/sprites/gen5/maractus.png
Dwebble,557,0.3,14.5,50,65,85,35,35,55,325,https://play.pokemonshowdown.com/sprites/gen5/dwebble.png
Crustle,558,1.4,200,70,105,125,65,75,45,485,https://play.pokemonshowdown.com/sprites/gen5/crustle.png
