Pokemon, Number, height, weight, HP, Attack, Defense, Sp. Atk, Sp. Def, Speed, total, Sprite
Chikorita,,0.9,6.4,45,49,65,49,65,45,318,https://play.pokemonshowdown.com/sprites/gen5/chikorita.png
Bayleef,153,1.2,15.8,60,62,80,63,80,60,405,https://play.pokemonshowdown.com/sprites/gen5/bayleef.png
Meganium,154,1.8,100.5,80,82,100,83,100,80,525,https://play.pokemonshowdown.com/sprites/gen5/meganium.png
Cyndaquil,155,0.5,7.9,39,52,43,60,50,65,309,https://play.pokemonshowdown.com/sprites/gen5/cyndaquil.png
Quilava,156,0.9,19,58,64,58,80,65,80,405,https://play.pokemonshowdown.com/sprites/gen5/quilava.png
Typhlosion,157,1.7,79.5,78,84,78,109,85,100,534,https://play.pokemonshowdown.com/sprites/gen5/typhlosion.png
Typhlosion-Hisui,157,1.6,69.8,73,84,78,119,85,95,534,https://play.pokemonshowdown.com/sprites/gen5/typhlosion-hisui.png
Totodile,158,0.6,9.5,50,65,64,44,48,43,314,https://play.pokemonshowdown.com/sprites/gen5/totodile.png
Croconaw,159,1.1,25,65,80,80,59,63,58,405,https://play.pokemonshowdown.com/sprites/gen5/croconaw.png
Feraligatr,160,2.3,88.8,85,105,100,79,83,78,530,https://play.pokemonshowdown.com/sprites/gen5/feraligatr.png
Sentret,161,0.8,6,35,46,34,35,45,20,215,https://play.pokemonshowdown.com/sprites/gen5/sentret.png
Furret,162,1.8,32.5,85,76,64,45,55,90,415,https://play.pokemonshowdown.com/sprites/gen5/furret.png
Hoothoot,163,0.7,21.2,60,30,30,36,56,50,262,https://play.pokemonshowdown.com/sprites/gen5/hoothoot.png
Noctowl,164,1.6,40.8,100,50,50,86,96,70,452,https://play.pokemonshowdown.com/sprites/gen5/noctowl.png
Ledyba,165,1,10.8,40,20,30,40,80,55,265,https://play.pokemonshowdown.com/sprites/gen5/ledyba.png
Ledian,166,1.4,35.6,55,35,50,55,110,85,390,https://play.pokemonshowdown.com/sprites/gen5/ledian.png
Spinarak,167,0.5,8.5,40,60,40,40,40,30,250,https://play.pokemonshowdown.com/sprites/gen5/spinarak.png
Ariados,168,1.1,33.5,70,90,70,60,70,40,400,https://play.pokemonshowdown.com/sprites/gen5/ariados.png
Crobat,169,1.8,75,85,90,80,70,80,130,535,https://play.pokemonshowdown.com/sprites/gen5/crobat.png
Chinchou,170,0.5,12,75,38,38,56,56,67,330,https://play.pokemonshowdown.com/sprites/gen5/chinchou.png
Lanturn,171,1.2,22.5,125,58,58,76,76,67,460,https://play.pokemonshowdown.com/sprites/gen5/lanturn.png
Pichu,172,0.3,2,20,40,15,35,35,60,205,https://play.pokemonshowdown.com/sprites/gen5/pichu.png
Cleffa,173,0.3,3,50,25,28,45,55,15,218,https://play.pokemonshowdown.com/sprites/gen5/cleffa.png
Igglybuff,174,0.3,1,90,30,15,40,20,15,210,https://play.pokemonshowdown.com/sprites/gen5/igglybuff.png
Togepi,175,0.3,1.5,35,20,65,40,65,20,245,https://play.pokemonshowdown.com/sprites/gen5/togepi.png
Togetic,176,0.6,3.2,55,40,85,80,105,40,405,https://play.pokemonshowdown.com/sprites/gen5/togetic.png
Natu,177,0.2,2,40,50,45,70,45,70,320,https://play.pokemonshowdown.com/sprites/gen5/natu.png
Xatu,178,1.5,15,65,75,70,95,70,95,470,https://play.pokemonshowdown.com/sprites/gen5/xatu.png
Mareep,179,0.6,7.8,55,40,40,65,45,35,280,https://play.pokemonshowdown.com/sprites/gen5/mareep.png
Flaaffy,180,0.8,13.3,70,55,55,80,60,45,365,https://play.pokemonshowdown.com/sprites/gen5/flaaffy.png
Ampharos,181,1.4,61.5,90,75,85,115,90,55,510,https://play.pokemonshowdown.com/sprites/gen5/ampharos.png
Bellossom,182,0.4,5.8,75,80,95,90,100,50,490,https://play.pokemonshowdown.com/sprites/gen5/bellossom.png
Marill,183,0.4,8.5,70,20,50,20,50,40,250,https://play.pokemonshowdown.com/sprites/gen5/marill.png
Azumarill,184,0.8,28.5,100,50,80,60,80,50,420,https://play.pokemonshowdown.com/sprites/gen5/azumarill.png
Sudowoodo,185,1.2,38,70,100,115,30,65,30,410,https://play.pokemonshowdown.com/sprites/gen5/sudowoodo.png
Politoed,186,1.1,33.9,90,75,75,90,100,70,500,https://play.pokemonshowdown.com/sprites/gen5/politoed.png
Hoppip,187,0.4,0.5,35,35,40,35,55,50,250,https://play.pokemonshowdown.com/sprites/gen5/hoppip.png
Skiploom,188,0.6,1,55,45,50,45,65,80,340,https://play.pokemonshowdown.com/sprites/gen5/skiploom.png
Jumpluff,189,0.8,3,75,55,70,55,95,110,460,https://play.pokemonshowdown.com/sprites/gen5/jumpluff.png
Aipom,190,0.8,11.5,55,70,55,40,55,85,360,https://play.pokemonshowdown.com/sprites/gen5/aipom.png
Sunkern,191,0.3,1.8,30,30,30,30,30,30,180,https://play.pokemonshowdown.com/sprites/gen5/sunkern.png
Sunflora,192,0.8,8.5,75,75,55,105,85,30,425,https://play.pokemonshowdown.com/sprites/gen5/sunflora.png
Yanma,193,1.2,38,65,65,45,75,45,95,390,https://play.pokemonshowdown.com/sprites/gen5/yanma.png
Wooper,194,0.4,8.5,55,45,45,25,25,15,210,https://play.pokemonshowdown.com/sprites/gen5/wooper.png
Wooper-Paldea,194,0.4,8.5,55,45,45,25,25,15,210,https://play.pokemonshowdown.com/sprites/gen5/wooper-paldea.png
Quagsire,195,1.4,75,95,85,85,65,65,35,430,https://play.pokemonshowdown.com/sprites/gen5/quagsire.png
Espeon,196,0.9,26.5,65,65,60,130,95,110,525,https://play.pokemonshowdown.com/sprites/gen5/espeon.png
Umbreon,197,1,27,95,65,110,60,130,65,525,https://play.pokemonshowdown.com/sprites/gen5/umbreon.png
Murkrow,198,0.5,2.1,60,85,42,85,42,91,405,https://play.pokemonshowdown.com/sprites/gen5/murkrow.png
Slowking,199,2,79.5,95,75,80,100,110,30,490,https://play.pokemonshowdown.com/sprites/gen5/slowking.png
Slowking-Galar,199,1.8,79.5,95,65,80,110,110,30,490,https://play.pokemonshowdown.com/sprites/gen5/slowking-galar.png
Misdreavus,200,0.7,1,60,60,60,85,85,85,435,https://play.pokemonshowdown.com/sprites/gen5/misdreavus.png
Unown,201,0.5,5,48,72,48,72,48,48,336,https://play.pokemonshowdown.com/sprites/gen5/unown.png
Wobbuffet,202,1.3,28.5,190,33,58,33,58,33,405,https://play.pokemonshowdown.com/sprites/gen5/wobbuffet.png
Girafarig,203,1.5,41.5,70,80,65,90,65,85,455,https://play.pokemonshowdown.com/sprites/gen5/girafarig.png
