Pokemon, Number, height, weight, HP, Attack, Defense, Sp. Atk, Sp. Def, Speed, total, Sprite
Sprigatito,,0.4,4.1,40,61,54,45,45,65,310,https://play.pokemonshowdown.com/sprites/gen5/sprigatito.png
Floragato,907,0.9,12.2,61,80,63,60,63,83,410,https://play.pokemonshowdown.com/sprites/gen5/floragato.png
Meowscarada,908,1.5,31.2,76,110,70,81,70,123,530,https://play.pokemonshowdown.com/sprites/gen5/meowscarada.png
Fuecoco,909,0.4,9.8,67,45,59,63,40,36,310,https://play.pokemonshowdown.com/sprites/gen5/fuecoco.png
Crocalor,910,1,30.7,81,55,78,90,58,49,411,https://play.pokemonshowdown.com/sprites/gen5/crocalor.png
Skeledirge,911,1.6,326.5,104,75,100,110,75,66,530,https://play.pokemonshowdown.com/sprites/gen5/skeledirge.png
Quaxly,912,0.5,6.1,55,65,45,50,45,50,310,https://play.pokemonshowdown.com/sprites/gen5/quaxly.png
Quaxwell,913,1.2,21.5,70,85,65,65,60,65,410,https://play.pokemonshowdown.com/sprites/gen5/quaxwell.png
Quaquaval,914,1.8,61.9,85,120,80,85,75,85,530,https://play.pokemonshowdown.com/sprites/gen5/quaquaval.png
Lechonk,915,0.5,10.2,54,45,40,35,45,35,254,https://play.pokemonshowdown.com/sprites/gen5/lechonk.png
Oinkologne,916,1,120,110,100,75,59,80,65,489,https://play.pokemonshowdown.com/sprites/gen5/oinkologne.png
Tarountula,917,0.3,4,35,41,45,29,40,20,210,https://play.pokemonshowdown.com/sprites/gen5/tarountula.png
Spidops,918,1,16.5,60,79,92,52,86,35,404,https://play.pokemonshowdown.com/sprites/gen5/spidops.png
Nymble,919,0.2,1,33,46,40,21,25,45,210,https://play.pokemonshowdown.com/sprites/gen5/nymble.png
Lokix,920,1,17.5,71,102,78,52,55,92,450,https://play.pokemonshowdown.com/sprites/gen5/lokix.png
Pawmi,921,0.3,2.5,45,50,20,40,25,60,240,https://play.pokemonshowdown.com/sprites/gen5/pawmi.png
Pawmo,922,0.4,6.5,60,75,40,50,40,85,350,https://play.pokemonshowdown.com/sprites/gen5/pawmo.png
