Pokemon, Number, height, weight, HP, Attack, Defense, Sp. Atk, Sp. Def, Speed, total, Sprite
Turtwig,387,0.4,10.2,55,68,64,45,55,31,318,https://play.pokemonshowdown.com/sprites/gen5/turtwig.png
Grotle,388,1.1,97,75,89,85,55,65,36,405,https://play.pokemonshowdown.com/sprites/gen5/grotle.png
Torterra,389,2.2,310,95,109,105,75,85,56,525,https://play.pokemonshowdown.com/sprites/gen5/torterra.png
Chimchar,390,0.5,6.2,44,58,44,58,44,61,309,https://play.pokemonshowdown.com/sprites/gen5/chimchar.png
Monferno,391,0.9,22,64,78,52,78,52,81,405,https://play.pokemonshowdown.com/sprites/gen5/monferno.png
Infernape,392,1.2,55,76,104,71,104,71,108,534,https://play.pokemonshowdown.com/sprites/gen5/infernape.png
Piplup,393,0.4,5.2,53,51,53,61,56,40,314,https://play.pokemonshowdown.com/sprites/gen5/piplup.png
Prinplup,394,0.8,23,64,66,68,81,76,50,405,https://play.pokemonshowdown.com/sprites/gen5/prinplup.png
Empoleon,395,1.7,84.5,84,86,88,111,101,60,530,https://play.pokemonshowdown.com/sprites/gen5/empoleon.png
Starly,396,0.3,2,40,55,30,30,30,60,245,https://play.pokemonshowdown.com/sprites/gen5/starly.png
Staravia,397,0.6,15.5,55,75,50,40,40,80,340,https://play.pokemonshowdown.com/sprites/gen5/staravia.png
Staraptor,398,1.2,24.9,85,120,70,50,60,100,485,https://play.pokemonshowdown.com/sprites/gen5/staraptor.png
Bidoof,399,0.5,20,59,45,40,35,40,31,250,https://play.pokemonshowdown.com/sprites/gen5/bidoof.png
Bibarel,400,1,31.5,79,85,60,55,60,71,410,https://play.pokemonshowdown.com/sprites/gen5/bibarel.png
Kricketot,401,0.3,2.2,37,25,41,25,41,25,194,https://play.pokemonshowdown.com/sprites/gen5/kricketot.png
Kricketune,402,1,25.5,77,85,51,55,51,65,384,https://play.pokemonshowdown.com/sprites/gen5/kricketune.png
Shinx,403,0.5,9.5,45,65,34,40,34,45,263,https://play.pokemonshowdown.com/sprites/gen5/shinx.png
Luxio,404,0.9,30.5,60,85,49,60,49,60,363,https://play.pokemonshowdown.com/sprites/gen5/luxio.png
Luxray,405,1.4,42,80,120,79,95,79,70,523,https://play.pokemonshowdown.com/sprites/gen5/luxray.png
Budew,406,0.2,1.2,40,30,35,50,70,55,280,https://play.pokemonshowdown.com/sprites/gen5/budew.png
Roserade,407,0.9,14.5,60,70,65,125,105,90,515,https://play.pokemonshowdown.com/sprites/gen5/roserade.png
Cranidos,408,0.9,31.5,67,125,40,30,30,58,350,https://play.pokemonshowdown.com/sprites/gen5/cranidos.png
Rampardos,409,1.6,102.5,97,165,60,65,50,58,495,https://play.pokemonshowdown.com/sprites/gen5/rampardos.png
Shieldon,410,0.5,57,30,42,118,42,88,30,350,https://play.pokemonshowdown.com/sprites/gen5/shieldon.png
Bastiodon,411,1.3,149.5,60,52,168,47,138,30,495,https://play.pokemonshowdown.com/sprites/gen5/bastiodon.png
Burmy,412,0.2,3.4,40,29,45,29,45,36,224,https://play.pokemonshowdown.com/sprites/gen5/burmy.png
Wormadam,413,0.5,6.5,60,59,85,79,105,36,424,https://play.pokemonshowdown.com/sprites/gen5/wormadam.png
Mothim,414,0.9,23.3,70,94,50,94,50,66,424,https://play.pokemonshowdown.com/sprites/gen5/mothim.png
Combee,415,0.3,5.5,30,30,42,30,42,70,244,https://play.pokemonshowdown.com/sprites/gen5/combee.png
Vespiquen,416,1.2,38.5,70,80,102,80,102,40,474,https://play.pokemonshowdown.com/sprites/gen5/vespiquen.png
Pachirisu,417,0.4,3.9,60,45,70,45,90,95,405,https://play.pokemonshowdown.com/sprites/gen5/pachirisu.png
Buizel,418,0.7,29.5,55,65,35,60,30,85,330,https://play.pokemonshowdown.com/sprites/gen5/buizel.png
Floatzel,419,1.1,33.5,85,105,55,85,50,115,495,https://play.pokemonshowdown.com/sprites/gen5/floatzel.png
Cherubi,420,0.4,3.3,45,35,45,62,53,35,275,https://play.pokemonshowdown.com/sprites/gen5/cherubi.png
Cherrim,421,0.5,9.3,70,60,70,87,78,85,450,https://play.pokemonshowdown.com/sprites/gen5/cherrim.png
Shellos,422,0.3,6.3,76,48,48,57,62,34,325,https://play.pokemonshowdown.com/sprites/gen5/shellos.png
Gastrodon,423,0.9,29.9,111,83,68,92,82,39,475,https://play.pokemonshowdown.com/sprites/gen5/gastrodon.png
Ambipom,424,1.2,20.3,75,100,66,60,66,115,482,https://play.pokemonshowdown.com/sprites/gen5/ambipom.png
Drifloon,425,0.4,1.2,90,50,34,60,44,70,348,https://play.pokemonshowdown.com/sprites/gen5/drifloon.png
Drifblim,426,1.2,15,150,80,44,90,54,80,498,https://play.pokemonshowdown.com/sprites/gen5/drifblim.png
Buneary,427,0.4,5.5,55,66,44,44,56,85,350,https://play.pokemonshowdown.com/sprites/gen5/buneary.png
Lopunny,428,1.2,33.3,65,76,84,54,96,105,480,https://play.pokemonshowdown.com/sprites/gen5/lopunny.png
Mismagius,429,0.9,4.4,60,60,60,105,105,105,495,https://play.pokemonshowdown.com/sprites/gen5/mismagius.png
Honchkrow,430,0.9,27.3,100,125,52,105,52,71,505,https://play.pokemonshowdown.com/sprites/gen5/honchkrow.png
Glameow,431,0.5,3.9,49,55,42,42,37,85,310,https://play.pokemonshowdown.com/sprites/gen5/glameow.png
Purugly,432,1,43.8,71,82,64,64,59,112,452,https://play.pokemonshowdown.com/sprites/gen5/purugly.png
Chingling,433,0.2,0.6,45,30,50,65,50,45,285,https://play.pokemonshowdown.com/sprites/gen5/chingling.png
Stunky,434,0.4,19.2,63,63,47,41,41,74,329,https://play.pokemonshowdown.com/sprites/gen5/stunky.png
Skuntank,435,1,38,103,93,67,71,61,84,479,https://play.pokemonshowdown.com/sprites/gen5/skuntank.png
Bronzor,436,0.5,60.5,57,24,86,24,86,23,300,https://play.pokemonshowdown.com/sprites/gen5/bronzor.png
Bronzong,437,1.3,187,67,89,116,79,116,33,500,https://play.pokemonshowdown.com/sprites/gen5/bronzong.png
Bonsly,438,0.5,15,50,80,95,10,45,10,290,https://play.pokemonshowdown.com/sprites/gen5/bonsly.png
Mime Jr.,439,0.6,13,20,25,45,70,90,60,310,https://play.pokemonshowdown.com/sprites/gen5/mimejr.png
Happiny,440,0.6,24.4,100,5,5,15,65,30,220,https://play.pokemonshowdown.com/sprites/gen5/happiny.png
Chatot,441,0.5,1.9,76,65,45,92,42,91,411,https://play.pokemonshowdown.com/sprites/gen5/chatot.png
Spiritomb,442,1,108,50,92,108,92,108,35,485,https://play.pokemonshowdown.com/sprites/gen5/spiritomb.png
Gible,443,0.7,20.5,58,70,45,40,45,42,300,https://play.pokemonshowdown.com/sprites/gen5/gible.png
Gabite,444,1.4,56,68,90,65,50,55,82,410,https://play.pokemonshowdown.com/sprites/gen5/gabite.png
Garchomp,445,1.9,95,108,130,95,80,85,102,600,https://play.pokemonshowdown.com/sprites/gen5/garchomp.png
Munchlax,446,0.6,105,135,85,40,40,85,5,390,https://play.pokemonshowdown.com/sprites/gen5/munchlax.png
Riolu,447,0.7,20.2,40,70,40,35,40,60,285,https://play.pokemonshowdown.com/sprites/gen5/riolu.png
Lucario,448,1.2,54,70,110,70,115,70,90,525,https://play.pokemonshowdown.com/sprites/gen5/lucario.png
