Pokemon, Number, height, weight, HP, Attack, Defense, Sp. Atk, Sp. Def, Speed, total, Sprite
Treecko,252,0.5,5,40,45,35,65,55,70,310,https://play.pokemonshowdown.com/sprites/gen5/treecko.png
Grovyle,253,0.9,21.6,50,65,45,85,65,95,405,https://play.pokemonshowdown.com/sprites/gen5/grovyle.png
Sceptile,254,1.7,52.2,70,85,65,105,85,120,530,https://play.pokemonshowdown.com/sprites/gen5/sceptile.png
Torchic,255,0.4,2.5,45,60,40,70,50,45,310,https://play.pokemonshowdown.com/sprites/gen5/torchic.png
Combusken,256,0.9,19.5,60,85,60,85,60,55,405,https://play.pokemonshowdown.com/sprites/gen5/combusken.png
Blaziken,257,1.9,52,80,120,70,110,70,80,530,https://play.pokemonshowdown.com/sprites/gen5/blaziken.png
Mudkip,258,0.4,7.6,50,70,50,50,50,40,310,https://play.pokemonshowdown.com/sprites/gen5/mudkip.png
Marshtomp,259,0.7,28,70,85,70,60,70,50,405,https://play.pokemonshowdown.com/sprites/gen5/marshtomp.png
Swampert,260,1.5,81.9,100,110,90,85,90,60,535,https://play.pokemonshowdown.com/sprites/gen5/swampert.png
Poochyena,261,0.5,13.6,35,55,35,30,30,35,220,https://play.pokemonshowdown.com/sprites/gen5/poochyena.png
Mightyena,262,1,37,70,90,70,60,60,70,420,https://play.pokemonshowdown.com/sprites/gen5/mightyena.png
Zigzagoon,263,0.4,17.5,38,30,41,30,41,60,240,https://play.pokemonshowdown.com/sprites/gen5/zigzagoon.png
Zigzagoon-Galar,263,0.4,17.5,38,30,41,30,41,60,240,https://play.pokemonshowdown.com/sprites/gen5/zigzagoon-galar.png
Linoone,264,0.5,32.5,78,70,61,50,61,100,420,https://play.pokemonshowdown.com/sprites/gen5/linoone.png
Linoone-Galar,264,0.5,32.5,78,70,61,50,61,100,420,https://play.pokemonshowdown.com/sprites/gen5/linoone-galar.png
Wurmple,265,0.3,3.6,45,45,35,20,30,20,195,https://play.pokemonshowdown.com/sprites/gen5/wurmple.png
Silcoon,266,0.6,10,50,35,55,25,25,15,205,https://play.pokemonshowdown.com/sprites/gen5/silcoon.png
Beautifly,267,1,28.4,60,70,50,100,50,65,395,https://play.pokemonshowdown.com/sprites/gen5/beautifly.png
Cascoon,268,0.7,11.5,50,35,55,25,25,15,205,https://play.pokemonshowdown.com/sprites/gen5/cascoon.png
Dustox,269,1.2,31.6,60,50,70,50,90,65,385,https://play.pokemonshowdown.com/sprites/gen5/dustox.png
Lotad,270,0.5,2.6,40,30,30,40,50,30,220,https://play.pokemonshowdown.com/sprites/gen5/lotad.png
Lombre,271,1.2,32.5,60,50,50,60,70,50,340,https://play.pokemonshowdown.com/sprites/gen5/lombre.png
Ludicolo,272,1.5,55,80,70,70,90,100,70,480,https://play.pokemonshowdown.com/sprites/gen5/ludicolo.png
Seedot,273,0.5,4,40,40,50,30,30,30,220,https://play.pokemonshowdown.com/sprites/gen5/seedot.png
Nuzleaf,274,1,28,70,70,40,60,40,60,340,https://play.pokemonshowdown.com/sprites/gen5/nuzleaf.png
Shiftry,275,1.3,59.6,90,100,60,90,60,80,480,https://play.pokemonshowdown.com/sprites/gen5/shiftry.png
Taillow,276,0.3,2.3,40,55,30,30,30,85,270,https://play.pokemonshowdown.com/sprites/gen5/taillow.png
Swellow,277,0.7,19.8,60,85,60,75,50,125,455,https://play.pokemonshowdown.com/sprites/gen5/swellow.png
Wingull,278,0.6,9.5,40,30,30,55,30,85,270,https://play.pokemonshowdown.com/sprites/gen5/wingull.png
Pelipper,279,1.2,28,60,50,100,95,70,65,440,https://play.pokemonshowdown.com/sprites/gen5/pelipper.png
Ralts,280,0.4,6.6,28,25,25,45,35,40,198,https://play.pokemonshowdown.com/sprites/gen5/ralts.png
Kirlia,281,0.8,20.2,38,35,35,65,55,50,278,https://play.pokemonshowdown.com/sprites/gen5/kirlia.png
Gardevoir,282,1.6,48.4,68,65,65,125,115,80,518,https://play.pokemonshowdown.com/sprites/gen5/gardevoir.png
Surskit,283,0.5,1.7,40,30,32,50,52,65,269,https://play.pokemonshowdown.com/sprites/gen5/surskit.png
